	ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS	SPLIT_LINE	ALIGNMENT	RHYMEIDS	LENGTH
1402	1403	83	有女同車	83.2	1	彼美孟a[kiang]姜	彼美孟姜	姜	83.2a	kiang			彼 + 美 + 孟 + 姜	彼 + 美 + 孟 + 姜	0 0 0 381	4
1403	1404	83	有女同車	83.2	2	德音不a[miuang]忘。（阳部）	德音不忘	忘	83.2a	miuang	阳部		德 + 音 + 不 + 忘	德 + 音 + 不 + 忘	0 0 0 381	4
1404	1405	84	山有扶蘇	84.1	1	山有扶a[sa]蘇	山有扶蘇	蘇	84.1a	sa			山 + 有 + 扶 + 蘇	山 + 有 + 扶 + 蘇	0 0 0 382	4
1405	1406	84	山有扶蘇	84.1	2	隰有荷a[hoa]華。	隰有荷華	華	84.1a	hoa			隰 + 有 + 荷 + 華	隰 + 有 + 荷 + 華	0 0 0 382	4
1406	1407	84	山有扶蘇	84.1	1	不見子a[ta]都	不見子都	都	84.1a	ta			不 + 見 + 子 + 都	不 + 見 + 子 + 都	0 0 0 382	4
1407	1408	84	山有扶蘇	84.1	2	乃見狂a[tzia]且。（鱼部）	乃見狂且	且	84.1a	tzia	鱼部		乃 + 見 + 狂 + 且	乃 + 見 + 狂 + 且	0 0 0 382	4
1408	1409	84	山有扶蘇	84.2	1	山有橋a[ziong]松	山有橋松	松	84.2a	ziong			山 + 有 + 橋 + 松	山 + 有 + 橋 + 松	0 0 0 383	4
1409	1410	84	山有扶蘇	84.2	2	隰有游a[liong]龍。	隰有游龍	龍	84.2a	liong			隰 + 有 + 游 + 龍	隰 + 有 + 游 + 龍	0 0 0 383	4
1410	1411	84	山有扶蘇	84.2	1	不見子a[thjiong]充	不見子充	充	84.2a	thjiong			不 + 見 + 子 + 充	不 + 見 + 子 + 充	0 0 0 383	4
1411	1412	84	山有扶蘇	84.2	2	乃見狡a[dong]童。（东部）	乃見狡童	童	84.2a	dong	东部		乃 + 見 + 狡 + 童	乃 + 見 + 狡 + 童	0 0 0 383	4
1412	1413	85	蘀兮	85.1	1	a[thak]蘀兮a[thak]蘀兮	蘀兮蘀兮	蘀	85.1a	thak			蘀 + 兮 + 蘀 + 兮	蘀 + 兮 + 蘀 + 兮	384 0 0 0	4
1413	1414	85	蘀兮	85.1	1	a[thak]蘀兮a[thak]蘀兮	蘀兮蘀兮	蘀	85.1a	thak			蘀 + 兮 + 蘀 + 兮	蘀 + 兮 + 蘀 + 兮	384 0 0 0	4
1414	1415	85	蘀兮	85.1	2	風其b[thjiuai]吹女。（a= 铎部）	風其吹女	吹	85.1b	thjiuai	a=铎部		風 + 其 + 吹 + 女	風 + 其 + 吹 + 女	0 0 385 0	4
1415	1416	85	蘀兮	85.1	1	叔兮a[peak]伯兮	叔兮伯兮	伯	85.1a	peak			叔 + 兮 + 伯 + 兮	叔 + 兮 + 伯 + 兮	0 0 384 0	4
1416	1417	85	蘀兮	85.1	2	倡予b[huai]和女。（b= 歌部）	倡予和女	和	85.1b	huai	b=歌部		倡 + 予 + 和 + 女	倡 + 予 + 和 + 女	0 0 385 0	4
1417	1418	85	蘀兮	85.2	1	a[thak]蘀兮a[thak]蘀兮	蘀兮蘀兮	蘀	85.2a	thak			蘀 + 兮 + 蘀 + 兮	蘀 + 兮 + 蘀 + 兮	386 0 0 0	4
1418	1419	85	蘀兮	85.2	1	a[thak]蘀兮a[thak]蘀兮	蘀兮蘀兮	蘀	85.2a	thak			蘀 + 兮 + 蘀 + 兮	蘀 + 兮 + 蘀 + 兮	386 0 0 0	4
1419	1420	85	蘀兮	85.2	2	風其b[phiô]漂女。（a= 铎部）	風其漂女	漂	85.2b	phiô	a=铎部		風 + 其 + 漂 + 女	風 + 其 + 漂 + 女	0 0 387 0	4
1420	1421	85	蘀兮	85.2	1	叔兮a[peak]伯兮	叔兮伯兮	伯	85.2a	peak			叔 + 兮 + 伯 + 兮	叔 + 兮 + 伯 + 兮	0 0 386 0	4
1421	1422	85	蘀兮	85.2	2	倡予b[iô]要女。（b= 宵部）	倡予要女	要	85.2b	iô	b=宵部		倡 + 予 + 要 + 女	倡 + 予 + 要 + 女	0 0 387 0	4
1423	1424	86	狡童	86.1	2	不與我a[ngian]言兮。	不與我言兮	言	86.1a	ngian			不 + 與 + 我 + 言 + 兮	不 + 與 + 我 + 言 + 兮	0 0 0 388 0	5
1425	1426	86	狡童	86.1	2	使我不能a[tsan]餐兮。（元部）	使我不能餐兮	餐	86.1a	tsan	元部		使 + 我 + 不 + 能 + 餐 + 兮	使 + 我 + 不 + 能 + 餐 + 兮	0 0 0 0 388 0	6
1427	1428	86	狡童	86.2	2	不與我a[djiək]食兮。	不與我食兮	食	86.2a	djiək			不 + 與 + 我 + 食 + 兮	不 + 與 + 我 + 食 + 兮	0 0 0 389 0	5
1429	1430	86	狡童	86.2	2	使我不能a[siək]息兮。（职部）	使我不能息兮	息	86.2a	siək	职部		使 + 我 + 不 + 能 + 息 + 兮	使 + 我 + 不 + 能 + 息 + 兮	0 0 0 0 389 0	6
1431	1432	87	褰裳	87.1	2	褰裳涉a[tzhen]溱。	褰裳涉溱	溱	87.1a	tzhen			褰 + 裳 + 涉 + 溱	褰 + 裳 + 涉 + 溱	0 0 0 390	4
1433	1434	87	褰裳	87.1	2	豈無他a[njien]人。（真部）	豈無他人	人	87.1a	njien	真部		豈 + 無 + 他 + 人	豈 + 無 + 他 + 人	0 0 0 390	4
1434	1435	87	褰裳	87.1	1	狂童之B[giuang]狂也且。	狂童之狂也且	狂	87.1b	giuang			狂 + 童 + 之 + 狂 + 也 + 且	狂 + 童 + 之 + 狂 + 也 + 且	391 0 0 0 0 0	6
1436	1437	87	褰裳	87.2	2	褰裳涉a[hiuə]洧。	褰裳涉洧	洧	87.2a	hiuə			褰 + 裳 + 涉 + 洧	褰 + 裳 + 涉 + 洧	0 0 0 392	4
1438	1439	87	褰裳	87.2	2	豈無他a[dzhiə]士。（之部）	豈無他士	士	87.2a	dzhiə	之部		豈 + 無 + 他 + 士	豈 + 無 + 他 + 士	0 0 0 392	4
1439	1440	87	褰裳	87.2	1	狂童之B[giuang]狂也且。（阳部）	狂童之狂也且	狂	87.2b	giuang	阳部		狂 + 童 + 之 + 狂 + 也 + 且	狂 + 童 + 之 + 狂 + 也 + 且	393 0 0 0 0 0	6
1440	1441	88	丰	88.1	1	子之a[phiong]丰兮	子之丰兮	丰	88.1a	phiong			子 + 之 + 丰 + 兮	子 + 之 + 丰 + 兮	0 0 394 0	4
1441	1442	88	丰	88.1	2	俟我乎a[heong]巷兮。	俟我乎巷兮	巷	88.1a	heong			俟 + 我 + 乎 + 巷 + 兮	俟 + 我 + 乎 + 巷 + 兮	0 0 0 394 0	5
1442	1443	88	丰	88.1	1	悔予不a[song]送兮。（东部）	悔予不送兮	送	88.1a	song	东部		悔 + 予 + 不 + 送 + 兮	悔 + 予 + 不 + 送 + 兮	0 0 0 394 0	5
1443	1444	88	丰	88.2	1	子之a[thjiang]昌兮	子之昌兮	昌	88.2a	thjiang			子 + 之 + 昌 + 兮	子 + 之 + 昌 + 兮	0 0 395 0	4
1444	1445	88	丰	88.2	2	俟我乎a[dang]堂兮。	俟我乎堂兮	堂	88.2a	dang			俟 + 我 + 乎 + 堂 + 兮	俟 + 我 + 乎 + 堂 + 兮	0 0 0 395 0	5
1445	1446	88	丰	88.2	1	悔予不a[tziang]將兮。（阳部）	悔予不將兮	將	88.2a	tziang	阳部		悔 + 予 + 不 + 將 + 兮	悔 + 予 + 不 + 將 + 兮	0 0 0 395 0	5
1447	1448	88	丰	88.3	2	裳錦褧a[zjiang]裳。	裳錦褧裳	裳	88.3a	zjiang			裳 + 錦 + 褧 + 裳	裳 + 錦 + 褧 + 裳	396 0 0 0	4
1449	1450	88	丰	88.3	2	駕予與a[heang]行。（阳部）	駕予與行	行	88.3a	heang	阳部		駕 + 予 + 與 + 行	駕 + 予 + 與 + 行	0 0 0 396	4
1451	1452	88	丰	88.4	2	衣錦褧a[iəi]衣。	衣錦褧衣	衣	88.4a	iəi			衣 + 錦 + 褧 + 衣	衣 + 錦 + 褧 + 衣	397 0 0 0	4
1453	1454	88	丰	88.4	2	駕予與a[kiuəi]歸。（微部）	駕予與歸	歸	88.4a	kiuəi	微部		駕 + 予 + 與 + 歸	駕 + 予 + 與 + 歸	0 0 0 397	4
1454	1455	89	東門之墠	89.1	1	東門之a[zjian]墠	東門之墠	墠	89.1a	zjian			東 + 門 + 之 + 墠	東 + 門 + 之 + 墠	0 0 0 398	4
1455	1456	89	東門之墠	89.1	2	茹藘在a[piuan]阪。	茹藘在阪	阪	89.1a	piuan			茹 + 藘 + 在 + 阪	茹 + 藘 + 在 + 阪	0 0 0 398	4
1457	1458	89	東門之墠	89.1	2	其人甚a[hiuan]遠。（元部）	其人甚遠	遠	89.1a	hiuan	元部		其 + 人 + 甚 + 遠	其 + 人 + 甚 + 遠	0 0 0 398	4
1458	1459	89	東門之墠	89.2	1	東門之a[liet]栗	東門之栗	栗	89.2a	liet			東 + 門 + 之 + 栗	東 + 門 + 之 + 栗	0 0 0 399	4
1459	1460	89	東門之墠	89.2	2	有踐家a[sjiet]室。	有踐家室	室	89.2a	sjiet			有 + 踐 + 家 + 室	有 + 踐 + 家 + 室	0 0 0 399	4
1461	1462	89	東門之墠	89.2	2	子不我a[tziet]即。（质部）	子不我即	即	89.2a	tziet	质部		子 + 不 + 我 + 即	子 + 不 + 我 + 即	0 0 0 399	4
1462	1463	90	風雨	90.1	1	風雨淒a[tsyei]淒	風雨淒淒	淒	90.1a	tsyei			風 + 雨 + 淒 + 淒	風 + 雨 + 淒 + 淒	0 0 400 0	4
1463	1464	90	風雨	90.1	2	雞鳴喈a[kei]喈。	雞鳴喈喈	喈	90.1a	kei			雞 + 鳴 + 喈 + 喈	雞 + 鳴 + 喈 + 喈	0 0 400 0	4
1465	1466	90	風雨	90.1	2	云胡不a[jiei]夷。（脂部）	云胡不夷	夷	90.1a	jiei	脂部		云 + 胡 + 不 + 夷	云 + 胡 + 不 + 夷	0 0 0 400	4
1466	1467	90	風雨	90.2	1	風雨瀟a[syu]瀟	風雨瀟瀟	瀟	90.2a	syu			風 + 雨 + 瀟 + 瀟	風 + 雨 + 瀟 + 瀟	0 0 401 0	4
1467	1468	90	風雨	90.2	2	雞鳴膠a[keu]膠。	雞鳴膠膠	膠	90.2a	keu			雞 + 鳴 + 膠 + 膠	雞 + 鳴 + 膠 + 膠	0 0 401 0	4
1469	1470	90	風雨	90.2	2	云胡不a[thiu]瘳。（幽部）	云胡不瘳	瘳	90.2a	thiu	幽部		云 + 胡 + 不 + 瘳	云 + 胡 + 不 + 瘳	0 0 0 401	4
1470	1471	90	風雨	90.3	1	風雨如a[xuə]晦	風雨如晦	晦	90.3a	xuə			風 + 雨 + 如 + 晦	風 + 雨 + 如 + 晦	0 0 0 402	4
1471	1472	90	風雨	90.3	2	雞鳴不a[jiə]已。	雞鳴不已	已	90.3a	jiə			雞 + 鳴 + 不 + 已	雞 + 鳴 + 不 + 已	0 0 0 402	4
1472	1473	90	風雨	90.3	1	既見君a[tziə]子	既見君子	子	90.3a	tziə			既 + 見 + 君 + 子	既 + 見 + 君 + 子	0 0 0 402	4
1473	1474	90	風雨	90.3	2	云胡不a[xiə]喜。（之部）	云胡不喜	喜	90.3a	xiə	之部		云 + 胡 + 不 + 喜	云 + 胡 + 不 + 喜	0 0 0 402	4
1474	1475	91	子衿	91.1	1	青青子a[kiəm]衿	青青子衿	衿	91.1a	kiəm			青 + 青 + 子 + 衿	青 + 青 + 子 + 衿	0 0 0 403	4
1475	1476	91	子衿	91.1	2	悠悠我a[siəm]心。	悠悠我心	心	91.1a	siəm			悠 + 悠 + 我 + 心	悠 + 悠 + 我 + 心	0 0 0 403	4
1477	1478	91	子衿	91.1	2	子寧不嗣a[iəm]音。（侵部）	子寧不嗣音	音	91.1a	iəm	侵部		子 + 寧 + 不 + 嗣 + 音	子 + 寧 + 不 + 嗣 + 音	0 0 0 0 403	5
1478	1479	91	子衿	91.2	1	青青子a[buə]佩	青青子佩	佩	91.2a	buə			青 + 青 + 子 + 佩	青 + 青 + 子 + 佩	0 0 0 404	4
1479	1480	91	子衿	91.2	2	悠悠我a[siə]思。	悠悠我思	思	91.2a	siə			悠 + 悠 + 我 + 思	悠 + 悠 + 我 + 思	0 0 0 404	4
1481	1482	91	子衿	91.2	2	子寧不a[lə]來。（之部）	子寧不來	來	91.2a	lə	之部		子 + 寧 + 不 + 來	子 + 寧 + 不 + 來	0 0 0 404	4
1482	1483	91	子衿	91.3	1	挑兮a[that]達兮	挑兮達兮	達	91.3a	that			挑 + 兮 + 達 + 兮	挑 + 兮 + 達 + 兮	0 0 405 0	4
1483	1484	91	子衿	91.3	2	在城a[khiuat]闕兮。	在城闕兮	闕	91.3a	khiuat			在 + 城 + 闕 + 兮	在 + 城 + 闕 + 兮	0 0 405 0	4
1485	1486	91	子衿	91.3	2	如三a[ngiuat]月兮。（月部）	如三月兮	月	91.3a	ngiuat	月部		如 + 三 + 月 + 兮	如 + 三 + 月 + 兮	0 0 405 0	4
1487	1488	92	揚之水	92.1	2	不流束a[tshia]楚。	不流束楚	楚	92.1a	tshia			不 + 流 + 束 + 楚	不 + 流 + 束 + 楚	0 0 0 406	4
1489	1490	92	揚之水	92.1	2	維予與a[njia]女。	維予與女	女	92.1a	njia			維 + 予 + 與 + 女	維 + 予 + 與 + 女	0 0 0 406	4
1491	1492	92	揚之水	92.1	2	人實迋a[njia]女。（鱼部）	人實迋女	女	92.1a	njia	鱼部		人 + 實 + 迋 + 女	人 + 實 + 迋 + 女	0 0 0 406	4
1493	1494	92	揚之水	92.2	2	不流束a[sien]薪。	不流束薪	薪	92.2a	sien			不 + 流 + 束 + 薪	不 + 流 + 束 + 薪	0 0 0 407	4
1495	1496	92	揚之水	92.2	2	維予二a[njien]人。	維予二人	人	92.2a	njien			維 + 予 + 二 + 人	維 + 予 + 二 + 人	0 0 0 407	4
1497	1498	92	揚之水	92.2	2	人實不a[sien]信。（真部）	人實不信	信	92.2a	sien	真部		人 + 實 + 不 + 信	人 + 實 + 不 + 信	0 0 0 407	4
1498	1499	93	出其東門	93.1	1	出其東a[muən]門	出其東門	門	93.1a	muən			出 + 其 + 東 + 門	出 + 其 + 東 + 門	0 0 0 408	4
1499	1500	93	出其東門	93.1	2	有女如a[hiuən]雲。	有女如雲	雲	93.1a	hiuən			有 + 女 + 如 + 雲	有 + 女 + 如 + 雲	0 0 0 408	4
1500	1501	93	出其東門	93.1	1	雖則如a[hiuən]雲	雖則如雲	雲	93.1a	hiuən			雖 + 則 + 如 + 雲	雖 + 則 + 如 + 雲	0 0 0 408	4
1501	1502	93	出其東門	93.1	2	匪我思a[dzuən]存。	匪我思存	存	93.1a	dzuən			匪 + 我 + 思 + 存	匪 + 我 + 思 + 存	0 0 0 408	4
1502	1503	93	出其東門	93.1	1	縞衣綦a[kiən]巾	縞衣綦巾	巾	93.1a	kiən			縞 + 衣 + 綦 + 巾	縞 + 衣 + 綦 + 巾	0 0 0 408	4
1503	1504	93	出其東門	93.1	2	聊樂我a[hyuən]員。（文部）	聊樂我員	員	93.1a	hyuən	文部		聊 + 樂 + 我 + 員	聊 + 樂 + 我 + 員	0 0 0 408	4
1504	1505	93	出其東門	93.2	1	出其闉a[ta]闍	出其闉闍	闍	93.2a	ta			出 + 其 + 闉 + 闍	出 + 其 + 闉 + 闍	0 0 0 409	4
1505	1506	93	出其東門	93.2	2	有女如a[da]荼。	有女如荼	荼	93.2a	da			有 + 女 + 如 + 荼	有 + 女 + 如 + 荼	0 0 0 409	4
1506	1507	93	出其東門	93.2	1	雖則如a[da]荼	雖則如荼	荼	93.2a	da			雖 + 則 + 如 + 荼	雖 + 則 + 如 + 荼	0 0 0 409	4
1507	1508	93	出其東門	93.2	2	匪我思a[tzia]且。	匪我思且	且	93.2a	tzia			匪 + 我 + 思 + 且	匪 + 我 + 思 + 且	0 0 0 409	4
1508	1509	93	出其東門	93.2	1	縞衣茹a[lia]藘	縞衣茹藘	藘	93.2a	lia			縞 + 衣 + 茹 + 藘	縞 + 衣 + 茹 + 藘	0 0 0 409	4
1509	1510	93	出其東門	93.2	2	聊可與a[ngiua]娛。（鱼部）	聊可與娛	娛	93.2a	ngiua	鱼部		聊 + 可 + 與 + 娛	聊 + 可 + 與 + 娛	0 0 0 409	4
1511	1512	94	野有蔓草	94.1	2	零露a[duan]漙兮。	零露漙兮	漙	94.1a	duan			零 + 露 + 漙 + 兮	零 + 露 + 漙 + 兮	0 0 410 0	4
1513	1514	94	野有蔓草	94.1	2	清揚a[iuan]<uncertainty if iuan or luan>婉兮。	清揚婉兮	婉	94.1a	iuan		uncertaintyifiuanorluan,	清 + 揚 + 婉 + 兮	清 + 揚 + 婉 + 兮	0 0 410 0	4
1515	1516	94	野有蔓草	94.1	2	適我a[ngiuan]願兮。（元部）	適我願兮	願	94.1a	ngiuan	元部		適 + 我 + 願 + 兮	適 + 我 + 願 + 兮	0 0 410 0	4
1517	1518	94	野有蔓草	94.2	2	零露瀼a[njiang]瀼。	零露瀼瀼	瀼	94.2a	njiang			零 + 露 + 瀼 + 瀼	零 + 露 + 瀼 + 瀼	0 0 411 0	4
1519	1520	94	野有蔓草	94.2	2	婉如清a[jiang]揚。	婉如清揚	揚	94.2a	jiang			婉 + 如 + 清 + 揚	婉 + 如 + 清 + 揚	0 0 0 411	4
1521	1522	94	野有蔓草	94.2	2	與子偕a[tzang]臧。（阳部）	與子偕臧	臧	94.2a	tzang	阳部		與 + 子 + 偕 + 臧	與 + 子 + 偕 + 臧	0 0 0 411	4
1523	1524	95	溱洧	95.1	2	方渙a[xuan]渙兮。	方渙渙兮	渙	95.1a	xuan			方 + 渙 + 渙 + 兮	方 + 渙 + 渙 + 兮	0 412 0 0	4
1525	1526	95	溱洧	95.1	2	方秉a[kean]蘭兮。（元部）	方秉蘭兮	蘭	95.1a	kean	元部		方 + 秉 + 蘭 + 兮	方 + 秉 + 蘭 + 兮	0 0 412 0	4
1526	1527	95	溱洧	95.1	1	女曰觀b[ha]乎。	女曰觀乎	乎	95.1b	ha			女 + 曰 + 觀 + 乎	女 + 曰 + 觀 + 乎	0 0 0 413	4
1527	1528	95	溱洧	95.1	1	士曰既b[tzia]且。	士曰既且	且	95.1b	tzia			士 + 曰 + 既 + 且	士 + 曰 + 既 + 且	0 0 0 413	4
1528	1529	95	溱洧	95.1	1	且往觀b[ha]乎。（鱼部）	且往觀乎	乎	95.1b	ha	鱼部		且 + 往 + 觀 + 乎	且 + 往 + 觀 + 乎	0 0 0 413	4
1530	1531	95	溱洧	95.1	2	洵訏且c[lôk]樂。	洵訏且樂	樂	95.1c	lôk			洵 + 訏 + 且 + 樂	洵 + 訏 + 且 + 樂	0 0 0 414	4
1532	1533	95	溱洧	95.1	2	伊其相c[xiôk]謔	伊其相謔	謔	95.1c	xiôk			伊 + 其 + 相 + 謔	伊 + 其 + 相 + 謔	0 0 0 414	4
1533	1534	95	溱洧	95.1	3	贈之以勺c[jiôk]藥。（药部）	贈之以勺藥	藥	95.1c	jiôk	药部		贈 + 之 + 以 + 勺 + 藥	贈 + 之 + 以 + 勺 + 藥	0 0 0 0 414	5
1535	1536	95	溱洧	95.2	2	瀏其a[tsieng]清矣。	瀏其清矣	清	95.2a	tsieng			瀏 + 其 + 清 + 矣	瀏 + 其 + 清 + 矣	0 0 415 0	4
1537	1538	95	溱洧	95.2	2	殷其a[jieng]盈矣。（耕部）	殷其盈矣	盈	95.2a	jieng	耕部		殷 + 其 + 盈 + 矣	殷 + 其 + 盈 + 矣	0 0 415 0	4
1538	1539	95	溱洧	95.2	1	女曰觀b[ha]乎。	女曰觀乎	乎	95.2b	ha			女 + 曰 + 觀 + 乎	女 + 曰 + 觀 + 乎	0 0 0 416	4
1539	1540	95	溱洧	95.2	1	士曰既b[tzia]且。	士曰既且	且	95.2b	tzia			士 + 曰 + 既 + 且	士 + 曰 + 既 + 且	0 0 0 416	4
1540	1541	95	溱洧	95.2	1	且往觀b[ha]乎。（鱼部）	且往觀乎	乎	95.2b	ha	鱼部		且 + 往 + 觀 + 乎	且 + 往 + 觀 + 乎	0 0 0 416	4
1542	1543	95	溱洧	95.2	2	洵訏且c[lôk]樂。	洵訏且樂	樂	95.2c	lôk			洵 + 訏 + 且 + 樂	洵 + 訏 + 且 + 樂	0 0 0 417	4
1544	1545	95	溱洧	95.2	2	伊其將c[xiôk]謔	伊其將謔	謔	95.2c	xiôk			伊 + 其 + 將 + 謔	伊 + 其 + 將 + 謔	0 0 0 417	4
1545	1546	95	溱洧	95.2	3	贈之以勺c[jiôk]藥。（药部）	贈之以勺藥	藥	95.2c	jiôk	药部		贈 + 之 + 以 + 勺 + 藥	贈 + 之 + 以 + 勺 + 藥	0 0 0 0 417	5
1547	1548	96	雞鳴	96.1	1	雞既a[mieng]鳴矣	雞既鳴矣	鳴	96.1a	mieng			雞 + 既 + 鳴 + 矣	雞 + 既 + 鳴 + 矣	0 0 418 0	4
1548	1549	96	雞鳴	96.1	2	朝既a[jieng]盈矣。	朝既盈矣	盈	96.1a	jieng			朝 + 既 + 盈 + 矣	朝 + 既 + 盈 + 矣	0 0 418 0	4
1549	1550	96	雞鳴	96.1	1	匪雞則a[mieng]鳴	匪雞則鳴	鳴	96.1a	mieng			匪 + 雞 + 則 + 鳴	匪 + 雞 + 則 + 鳴	0 0 0 418	4
1550	1551	96	雞鳴	96.1	2	蒼蠅之a[sjieng]聲。（耕部）	蒼蠅之聲	聲	96.1a	sjieng	耕部		蒼 + 蠅 + 之 + 聲	蒼 + 蠅 + 之 + 聲	0 0 0 418	4
1551	1552	96	雞鳴	96.2	1	東方a[myang]明矣	東方明矣	明	96.2a	myang			東 + 方 + 明 + 矣	東 + 方 + 明 + 矣	0 0 419 0	4
1552	1553	96	雞鳴	96.2	2	朝既a[thjiang]昌矣。	朝既昌矣	昌	96.2a	thjiang			朝 + 既 + 昌 + 矣	朝 + 既 + 昌 + 矣	0 0 419 0	4
1553	1554	96	雞鳴	96.2	1	匪東方則a[myang]明	匪東方則明	明	96.2a	myang			匪 + 東 + 方 + 則 + 明	匪 + 東 + 方 + 則 + 明	0 0 0 0 419	5
1554	1555	96	雞鳴	96.2	2	月出之a[kuang]光。（阳部）	月出之光	光	96.2a	kuang	阳部		月 + 出 + 之 + 光	月 + 出 + 之 + 光	0 0 0 419	4
1555	1556	96	雞鳴	96.3	1	蟲飛薨a[xuəng]薨	蟲飛薨薨	薨	96.3a	xuəng			蟲 + 飛 + 薨 + 薨	蟲 + 飛 + 薨 + 薨	0 0 420 0	4
1556	1557	96	雞鳴	96.3	2	甘與子同a[miuəng]夢。	甘與子同夢	夢	96.3a	miuəng			甘 + 與 + 子 + 同 + 夢	甘 + 與 + 子 + 同 + 夢	0 0 0 0 420	5
1558	1559	96	雞鳴	96.3	2	無庶予子a[tzəng]憎。（蒸部）	無庶予子憎	憎	96.3a	tzəng	蒸部		無 + 庶 + 予 + 子 + 憎	無 + 庶 + 予 + 子 + 憎	0 0 0 0 420	5
1559	1560	97	還	97.1	1	子之a[hoan]還兮	子之還兮	還	97.1a	hoan			子 + 之 + 還 + 兮	子 + 之 + 還 + 兮	0 0 421 0	4
1560	1561	97	還	97.1	2	遭我乎峱之a[kean]間兮。	遭我乎峱之間兮	間	97.1a	kean			遭 + 我 + 乎 + 峱 + 之 + 間 + 兮	遭 + 我 + 乎 + 峱 + 之 + 間 + 兮	0 0 0 0 0 421 0	7
1561	1562	97	還	97.1	1	並驅從兩a[kyan]肩兮	並驅從兩肩兮	肩	97.1a	kyan			並 + 驅 + 從 + 兩 + 肩 + 兮	並 + 驅 + 從 + 兩 + 肩 + 兮	0 0 0 0 421 0	6
1562	1563	97	還	97.1	2	揖我謂我a[xiuan]儇兮。（元部）	揖我謂我儇兮	儇	97.1a	xiuan	元部		揖 + 我 + 謂 + 我 + 儇 + 兮	揖 + 我 + 謂 + 我 + 儇 + 兮	0 0 0 0 421 0	6
1563	1564	97	還	97.2	1	子之a[mu]茂兮	子之茂兮	茂	97.2a	mu			子 + 之 + 茂 + 兮	子 + 之 + 茂 + 兮	0 0 422 0	4
1564	1565	97	還	97.2	2	遭我乎峱之a[du]道兮。	遭我乎峱之道兮	道	97.2a	du			遭 + 我 + 乎 + 峱 + 之 + 道 + 兮	遭 + 我 + 乎 + 峱 + 之 + 道 + 兮	0 0 0 0 0 422 0	7
1565	1566	97	還	97.2	1	並驅從兩a[mu]牡兮	並驅從兩牡兮	牡	97.2a	mu			並 + 驅 + 從 + 兩 + 牡 + 兮	並 + 驅 + 從 + 兩 + 牡 + 兮	0 0 0 0 422 0	6
1566	1567	97	還	97.2	2	揖我謂我a[xu]好兮。（幽部）	揖我謂我好兮	好	97.2a	xu	幽部		揖 + 我 + 謂 + 我 + 好 + 兮	揖 + 我 + 謂 + 我 + 好 + 兮	0 0 0 0 422 0	6
1567	1568	97	還	97.3	1	子之a[tjiang]昌兮	子之昌兮	昌	97.3a	tjiang			子 + 之 + 昌 + 兮	子 + 之 + 昌 + 兮	0 0 423 0	4
1568	1569	97	還	97.3	2	遭我乎峱之a[jiang]陽兮。	遭我乎峱之陽兮	陽	97.3a	jiang			遭 + 我 + 乎 + 峱 + 之 + 陽 + 兮	遭 + 我 + 乎 + 峱 + 之 + 陽 + 兮	0 0 0 0 0 423 0	7
1569	1570	97	還	97.3	1	並驅從兩a[lang]狼兮	並驅從兩狼兮	狼	97.3a	lang			並 + 驅 + 從 + 兩 + 狼 + 兮	並 + 驅 + 從 + 兩 + 狼 + 兮	0 0 0 0 423 0	6
1570	1571	97	還	97.3	2	揖我謂我a[tzang]臧兮。（阳部）	揖我謂我臧兮	臧	97.3a	tzang	阳部		揖 + 我 + 謂 + 我 + 臧 + 兮	揖 + 我 + 謂 + 我 + 臧 + 兮	0 0 0 0 423 0	6
1571	1572	98	著	98.1	1	俟我於a[dia]著乎而	俟我於著乎而	著	98.1a	dia			俟 + 我 + 於 + 著 + 乎 + 而	俟 + 我 + 於 + 著 + 乎 + 而	0 0 0 424 0 0	6
1572	1573	98	著	98.1	2	充耳以a[sa]素乎而	充耳以素乎而	素	98.1a	sa			充 + 耳 + 以 + 素 + 乎 + 而	充 + 耳 + 以 + 素 + 乎 + 而	0 0 0 424 0 0	6
1573	1574	98	著	98.1	3	尚之以瓊a[hoa]華乎而。（鱼部）	尚之以瓊華乎而	華	98.1a	hoa	鱼部		尚 + 之 + 以 + 瓊 + 華 + 乎 + 而	尚 + 之 + 以 + 瓊 + 華 + 乎 + 而	0 0 0 0 424 0 0	7
1574	1575	98	著	98.2	1	俟我於a[dyeng]庭乎而	俟我於庭乎而	庭	98.2a	dyeng			俟 + 我 + 於 + 庭 + 乎 + 而	俟 + 我 + 於 + 庭 + 乎 + 而	0 0 0 425 0 0	6
1575	1576	98	著	98.2	2	充耳以a[tsyeng]青乎而	充耳以青乎而	青	98.2a	tsyeng			充 + 耳 + 以 + 青 + 乎 + 而	充 + 耳 + 以 + 青 + 乎 + 而	0 0 0 425 0 0	6
1576	1577	98	著	98.2	3	尚之以瓊a[hiueng]瑩乎而。（耕部）	尚之以瓊瑩乎而	瑩	98.2a	hiueng	耕部		尚 + 之 + 以 + 瓊 + 瑩 + 乎 + 而	尚 + 之 + 以 + 瓊 + 瑩 + 乎 + 而	0 0 0 0 425 0 0	7
